Name,Category,X2023.JIF,Group,Notes
Bulletin de la Societe Entomologique de France,NA,NA,NA,
Bulletin de la Societe Herpetologique de France,NA,NA,NA,
Bulletin de la Societe Linneenne de Lyon,BIOLOGY,0.3,General,"No second cat. From journal website: ""Welcome to the website of the Linnaean Society of Lyon, an association of volunteers, to share our knowledge of the natural sciences: during regular meetings and outings, thanks to our library, our scientific publications, or the consultation of our herbaria and our entomological and mineralogical collections"""
Bulletin de la Societe Royale des Sciences de Liege,NA,NA,NA,
Bulletin de la Societe Scientifique de Bretagne,NA,NA,NA,
Bulletin de la Societe Zoologique de France,ZOOLOGY - SCIE,0.16,Zoology,
Bulletin de la Station Biologique d'Arcachon,NA,NA,NA,
Bulletin du Museum National d'Histoire Naturelle Section A Zoologie Biologie et Ecologie Animales,NA,NA,NA,
Bulletin Ecol Soc Am,NA,NA,NA,
Bulletin et Annales de la Societe Entomologique de Belgique,NA,NA,NA,
Bulletin New Jersey Academy of Science,NA,NA,NA,
Bulletin of Entomological Research,ENTOMOLOGY,1.6,Taxon,
Bulletin of Entomological Research London,ENTOMOLOGY,1.6,Taxon,
Bulletin of Entomology,NA,NA,NA,
Bulletin of Environmental Contamination and Toxicology,ENVIRONMENTAL SCIENCES,2.7,Applied,Second cat is toxicology
Bulletin of Gunma Museum of Natural History,NA,NA,NA,
Bulletin of Ibaraki Nature Museum,NA,NA,NA,
Tropical Life Sciences Research,BIOLOGY,1.1,Applied,"From journal website: ""Tropical Life Sciences Research (TLSR) formerly known as Journal of Bioscience seeks to publish relevant ideas and knowledge addressing vital life sciences issues in the tropical region. The Journal’s scope is interdisciplinary in nature and covers any aspects related to issues on life sciences especially from the field of biochemistry, microbiology, biotechnology and animal, plant, environmental, biomedical and pharmaceutical sciences. TLSR practices double blind peer review system to ensure and maintain the good quality of articles published in this journal."" Very difficult as broad though tropical qualifier means not general. Covers both applied and basic so coding as applied"
Bulletin of Mathematical Biology,BIOLOGY,2,Other_bio,Second cat is mathematical and computational bio
Bulletin of National Fisheries University of Pusan (Natural Sciences),NA,NA,NA,
Bulletin of the African Bird Club,NA,NA,NA,
Bulletin of the American Museum of Natural History,ECOLOGY,5.1,Ecology,"From journal website: ""Bulletin of the American Museum of Natural History has been published continuously since 1881. It contains new discoveries in the field of natural sciences relating to zoology, paleontology, and geology."""
Bulletin of the British Arachnological Society,NA,NA,NA,
Bulletin of the British Ornithologists' Club,NA,NA,NA,
Bulletin of the Brooklyn Entomological Society (NS),NA,NA,NA,
Bulletin of the Chicago Herpetological Society,NA,NA,NA,
Bulletin of the Florida State Museum Biological Sciences,NA,NA,NA,
Bulletin of the Iraq Natural History Museum,NA,NA,NA,
Bulletin of the Maryland Herpetological Society,NA,NA,NA,
Bulletin of the National Museum of Natural Science (Taichung),NA,NA,NA,
Bulletin of the Natural History Research Centre University of Baghdad,NA,NA,NA,
Bulletin of the Oklahoma Ornithological Society,NA,NA,NA,
Bulletin of the Psychonomic Society,NA,NA,NA,
Bulletin of the Research Council of Israel,NA,NA,NA,
Bulletin of the Taiwan Forestry Research Institute New Series,NA,NA,NA,
Bulletin of the Texas Ornithological Society,NA,NA,NA,
Bulletin of the Toyama Science Museum,NA,NA,NA,
Bulletin Ornithologique,NA,NA,NA,
Bulletin Southern California Academy of Sciences,NA,NA,NA,
Bulletin Thorne Ecological Research Station,NA,NA,NA,
Buntbarsche Bulletin,NA,NA,NA,
Butlleti del Grup Catala d'Anellament,NA,NA,NA,
Buvar,NA,NA,NA,
Byull Mosk Obshch Ispyt Prir Ot Biol,NA,NA,NA,
Byulleten Mosk Obshch Ispyt Prir (Otd Biol),NA,NA,NA,
Byulleten' Moskovskogo Obshchestva Ispytatelei Prirody Otdel Biologicheskii,NA,NA,NA,
Cahiers d'Ethologie,NA,NA,NA,
Cahiers d'Ethologie Appliquee,NA,NA,NA,
Cahiers des Naturalistes,NA,NA,NA,
Swarm Intelligence,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",2.1,Applied,"From journal website: ""Swarm Intelligence is the principal peer reviewed publication dedicated to reporting research and new developments in this multidisciplinary field. The journal publishes original research articles and occasional reviews on theoretical, experimental, and practical aspects of swarm intelligence. It offers readers reports on advances in the understanding and utilization of systems that are based on the principles of swarm intelligence. Emphasis is given to such topics as the modeling and analysis of collective biological systems; application of biological swarm intelligence models to real-world problems; and theoretical and empirical research in ant colony optimization, particle swarm optimization, swarm robotics, and other swarm intelligence algorithms. Articles often combine experimental and theoretical work."". Both basic and applied - coding as applied"
Calidris,NA,NA,NA,
Calif agric expl Stn Extension Service Manual,NA,NA,NA,
California Fish and Game,ZOOLOGY,0.6,Applied,Second cat is fisheries
Can. Fld Nat.,NA,NA,NA,
Canadian Entomologist,ENTOMOLOGY,1.1,Taxon,
Canadian Field Naturalist,NA,NA,NA,
Canadian Field-Naturalist,NA,NA,NA,
Canadian Journal of Botany,PLANT SCIENCES - SCIE,1.397,Other_bio,JCR year 2009
Canadian Journal of Earth Sciences,"GEOSCIENCES, MULTIDISCIPLINARY",1.3,Other_bio,
Canadian Journal of Fisheries and Aquatic Sciences,FISHERIES,1.9,Applied,
Canadian Journal of Zoology,ZOOLOGY,1,Zoology,
Canadian Manuscript Report of Fisheries and Aquatic Sciences,NA,NA,NA,
Canadian Science Advisory Secretariat Science Advisory Report,NA,NA,NA,
Canadian Wildlife Service Occasional Paper,NA,NA,NA,
Canberra Bird Notes,NA,NA,NA,
Caodi Xuebao,NA,NA,NA,
Caribbean Journal of Science,BIODIVERSITY CONSERVATION,0.5,Applied,
Carinthia II,NA,NA,NA,
Carnivore (Seattle),NA,NA,NA,
Caspian Journal of Environmental Sciences,NA,NA,NA,
Cat Chat (Southport),NA,NA,NA,
Catesbeiana,NA,NA,NA,
Caucasian Entomological Bulletin,NA,NA,NA,
CCA Ecological Journal,NA,NA,NA,
Cespedesia,NA,NA,NA,
Charadrius,NA,NA,NA,
Charles Darwin Research Station Annual Report,NA,NA,NA,
Chat (Raleigh),NA,NA,NA,
Chelonian Conservation and Biology,ZOOLOGY,0.9,Applied,
Chelonologica,NA,NA,NA,
Chemosphere,ENVIRONMENTAL SCIENCES,8.1,Applied,"From journal website: ""Chemosphere is an international journal designed for the publication of original communications on chemicals in the environment. Chemosphere, as a multidisciplinary journal, offers maximum dissemination of investigations related to environmental pollution including all aspects of the identification, quantification, behavior, fate, environmental toxicology, treatment, and remediation of contamination in the bio-, hydro-, litho- and atmosphere."""
Cheshire and Wirral Bird Report,NA,NA,NA,
Chinese Bioscience,NA,NA,NA,
Chinese Birds,NA,NA,NA,
Chinese Journal of Applied and Environmental Biology,NA,NA,NA,
Chinese Journal of Applied Entomology,NA,NA,NA,
Chinese Journal of Tropical Crops,NA,NA,NA,
Chinese Journal of Zoology,NA,NA,NA,
Chinese Wildlife,NA,NA,NA,
Chronmy Przyrode Ojczysta,NA,NA,NA,
Chronobiology International,BIOLOGY,2.2,Other_bio,Second cat is physiology
Chteniya Pamyati Alekseya Ivanovicha Kurentsova,NA,NA,NA,
Ciconia (Eguelshardt),NA,NA,NA,
Ciencia e Cultura (Sao Paulo),NA,NA,NA,
Ciencia Rural,AGRONOMY,0.8,Applied,
Ciencias Biologicas Academia de Ciencias de Cuba,NA,NA,NA,
CLSU Scientific Journal,NA,NA,NA,
Cobra (Chennai),NA,NA,NA,
Coleopterists Bulletin,ENTOMOLOGY,0.8,Taxon,
Colonial Waterbirds,ECOLOGY - SCIE,0.5,Taxon,Second cat is ornithology
Colorado Birds,NA,NA,NA,
Communicative & Integrative Biology,NA,NA,NA,
Comparative Biochemistry and Physiology A,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,1.274,Other_bio,
Comparative Biochemistry and Physiology C Comparative Pharmacology and Toxicology,ZOOLOGY,3.9,Applied,Second cat is toxicology
Comparative Biochemistry and Physiology Part A Molecular & Integrative Physiology,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,1.274,Other_bio,
Comparative Parasitology,ZOOLOGY,0.4,Zoology,
Compte Rendu,NA,NA,NA,
Comptes r hebd Seanc Acad Sci Paris,NA,NA,NA,
Comptes Rendus de l'Academie des Sciences Serie III Sciences de la Vie,NA,NA,NA,
Comptes Rendus Palevol,PALEONTOLOGY,1.2,Other_bio,
Comunicaciones del Museo Argentino de Ciencias Naturales Bernardino Rivadavia e Instituto Nacional de Investigacion de las Ciencias Naturales Zoologia,NA,NA,NA,
Condor,ORNITHOLOGY - SCIE,3.1,Taxon,JCR year 2022
Condor Berkeley,ORNITHOLOGY - SCIE,3.1,Taxon,
Connecticut Warbler,NA,NA,NA,
Conservation Biology,ECOLOGY,5.2,Applied,
Conservation Physiology,ECOLOGY,2.6,Applied,
Conservation Science and Practice,BIODIVERSITY CONSERVATION,2.8,Applied,
Conservationist,NA,NA,NA,
Contributions to Zoology,ZOOLOGY,2.1,Zoology,
Copeia,ZOOLOGY - SCIE,2.6,Taxon,"Now ichthyology and herpetology. From journal website: ""Ichthyology & Herpetology (formerly Copeia) publishes work on the biology of fishes, amphibians, and reptiles, or work using those organisms as models for testing hypotheses of broad significance."""
Copeia Ann Arbor,NA,NA,NA,
Global Ecology and Conservation,ECOLOGY,3.5,Applied,"Second cat is biodiversity & conservation. From journal website: ""Global Ecology and Conservation (GECCO) is an open access international scientific journal in the disciplines of ecology and conservation biology. The journal publishes articles spanning a diverse range of fields that contribute to ecology and conservation of terrestrial, marine or freshwater organisms and ecosystems. The primary aim of Global Ecology and Conservation is the publication of high-quality papers that advance the field of ecology and theory and practice of conservation. We welcome submissions from across the globe and we are particularly interested in articles from poorly represented regions, species and from authors from diverse origins. Population studies of species with Data Deficient (DD) are welcome."". Difficult as seems to have equal emphasis on ecology and conservation. Going with applied as ecology category is supposed to be non-applied. "
Corax,NA,NA,NA,
Corella,NA,NA,NA,
Cormoran,NA,NA,NA,
Cormorant,NA,NA,NA,
Cornwall Trust for Nature Conservation Newsletter,NA,NA,NA,
Cotinga,NA,NA,NA,
Country Life London,NA,NA,NA,
Country-Side,NA,NA,NA,
Countryman,NA,NA,NA,
Countryside,NA,NA,NA,
Courrier de la Nature,NA,NA,NA,
Cr hebd Seanc Acad Sci Paris,NA,NA,NA,
Cranbrook Institute of Science Bulletin,NA,NA,NA,
Cratschla,NA,NA,NA,
Creation Research Society Quarterly,NA,NA,NA,
Current Anthropology,ANTHROPOLOGY,2.1,Anthro,
Current Biology,BIOLOGY,8.1,General,"Second cat is 'Cell biology' but journal website confirms highly general interest: ""Current Biology is a general journal that publishes original research across all areas of biology together with an extensive and varied set of editorial sections. A primary aim of the journal is to foster communication across fields of biology, both by publishing important findings of general interest from diverse fields and through highly accessible editorial articles that explicitly aim to inform non-specialists."""
Current Ornithology,NA,NA,NA,
Current Science (Bangalore),MULTIDISCIPLINARY SCIENCES,1.1,General,"No second cat. From journal website: ""the leading interdisciplinary science journal from India""…""he journal is intended as a medium for communication and discussion of important issues that concern science and scientific activities. Besides full length research articles and shorter research communications, the journal publishes review articles, scientific correspondence and commentaries, news and views, comments on recently published research papers, opinions on scientific activity, articles on universities, Indian laboratories and institutions, interviews with scientists, personal information, book reviews, etc. It is also a forum to discuss issues and problems faced by science and scientists and an effective medium of interaction among scientists in the country and abroad. Current Science is read by a large community of scientists and the circulation has been continuously going up."""
Current Science Bangalore,MULTIDISCIPLINARY SCIENCES,1.1,General,"No second cat. From journal website: ""the leading interdisciplinary science journal from India""…""he journal is intended as a medium for communication and discussion of important issues that concern science and scientific activities. Besides full length research articles and shorter research communications, the journal publishes review articles, scientific correspondence and commentaries, news and views, comments on recently published research papers, opinions on scientific activity, articles on universities, Indian laboratories and institutions, interviews with scientists, personal information, book reviews, etc. It is also a forum to discuss issues and problems faced by science and scientists and an effective medium of interaction among scientists in the country and abroad. Current Science is read by a large community of scientists and the circulation has been continuously going up."""
Current Zoology,ZOOLOGY,1.6,Zoology,
Cyanopica,NA,NA,NA,
Cybium,ZOOLOGY,0.5,Applied,"From journal website: ""Cybium, the International Journal of Ichthyology, edited by the Société Française d’Ichtyologie, publishes original articles, review articles, summaries of theses, book reviews and information of interest to members of the Society and ichthyologists in general. Subjects covered include ichthyology in general, both basic and applied, and covers freshwater, marine and fossil fishes."" Both basic and applied, so applied"
Cyprus Ornithological Society Annual Report,NA,NA,NA,
Cytobios,CELL BIOLOGY - SCIE,0.486,Other_bio,Cannot find journal website to confirm
Dansk Ornithologisk Forenings Tidsskrift,NA,NA,NA,
Dansk Ornitologisk Forenings Tidsskrift,NA,NA,NA,
DATZ,NA,NA,NA,
DCG-Informationen,NA,NA,NA,
Deinsea,NA,NA,NA,
Deutsche Entomologische Zeitschrift,ENTOMOLOGY,1.3,Taxon,
Deutsche Entomologische Zeitschrift (NS),ENTOMOLOGY,1.3,Taxon,
Development Growth & Differentiation,DEVELOPMENTAL BIOLOGY,1.7,Other_bio,
Developmental Psychobiology,DEVELOPMENTAL BIOLOGY,1.8,Cognition,Second cat is psychology
Developmental Science,"PSYCHOLOGY, DEVELOPMENTAL",3.1,Cognition,"Second cat is psychology, developmental"
Devon Birds,NA,NA,NA,
Diseases of Aquatic Organisms,FISHERIES,1.1,Applied,
Diss. Abstr. Int.,NA,NA,NA,
Dissertation Abstr lnt,NA,NA,NA,
Dissertation Abstracts,NA,NA,NA,
Dissertation Abstracts International B Sciences and Engineering,NA,NA,NA,
Dissertation Abstracts International C European Abstracts,NA,NA,NA,
Diversity-Basel,ECOLOGY,2.1,Ecology,
Doga Turk Zooloji Dergisi,NA,NA,NA,
Doklady Akademii Nauk,MULTIDISCIPLINARY SCIENCES - SCIE,0.195,General,"No second cat. From journal website: ""he basic purpose of the journal consists, first of all, in publishing the reports on significant scientific researches of priority character. The reports on original and previously unpublished researches in the field of physical and mathematical, technical, geological and biological sciences are published on the pages of the journal."""
Doklady Akademii Nauk Respubliki Uzbekistan,NA,NA,NA,
Doklady Akademii Nauk SSSR,NA,NA,NA,
Doklady MOIP Zoologiya i Botanika,NA,NA,NA,
Donana Acta Vertebrata,NA,NA,NA,
Doriana,NA,NA,NA,
Drosera,NA,NA,NA,
DTW Deutsche Tieraerztliche Wochenschrift,NA,NA,NA,
Duin,NA,NA,NA,
Dutch Birding,NA,NA,NA,
EANHS Bulletin,NA,NA,NA,
Ecography,ECOLOGY,5.4,Ecology,"From journal website: ""Ecography strives to understand ecological or biodiversity patterns through space and time. We encourage papers to advance the field of macroecology and biogeography through the development and testing of theory or modern methodology (remote sensing, molecular techniques, AI), or by proposing new tools for analysis or interpretation of ecological phenomena"""
Ecologia Austral,NA,NA,NA,
Ecologia en Bolivia,NA,NA,NA,
Ecological Applications,ECOLOGY,4.3,Applied,
Ecological Engineering,ECOLOGY,3.9,Applied,"From journal website: ""Ecological engineering has been defined as the design of ecosystems for the mutual benefit of humans and nature. The journal is for those involved in designing, monitoring, or restoring ecosystems, and serves as a bridge between the fields of ecology and engineering"""
Ecological Entomology,ENTOMOLOGY,2,Taxon,
Ecological Indicators,ENVIRONMENTAL SCIENCES,7,Applied,"From journal website: ""The ultimate aim of Ecological Indicators is to integrate the monitoring and assessment of ecological and environmental indicators with management practices."""
Ecological Monographs,ECOLOGY,7.1,Ecology,
Ecological Questions,ECOLOGY,0.6,Ecology,
Ecological Research,ECOLOGY,1.7,Ecology,
Ecology (Washington D C),ECOLOGY,4.4,Ecology,
Ecology and Civil Engineering,NA,NA,NA,
Ecology and Evolution,ECOLOGY,2.3,Ecology,
Ecology Environment and Conservation,NA,NA,NA,
Ecology Letters,ECOLOGY,7.6,Ecology,
Journal of Experimental Marine Biology and Ecology,ECOLOGY,1.8,Ecology,"From journal website: ""The Journal of Experimental Marine Biology and Ecology provides a forum for experimental ecological research on marine organisms in relation to their natural environment.The main emphasis of the journal lies in hypothesis driven experimental work, both from the laboratory and the field. Natural experiments or descriptive studies that elucidate fundamental ecological processes are welcome. Submissions should have a broad ecological framework beyond the specific study organism or geographic region."""
Ecoscience,ECOLOGY,1.3,Ecology,
Ecosistemas,ECOLOGY,0.8,Ecology,
ECOSPHERE,ECOLOGY,2.7,Ecology,
Ecosystems,ECOLOGY,3.4,Ecology,
Ecotoxicology,ECOLOGY,2.4,Applied,Third cat is toxicology
Ecotoxicology and Environmental Safety,ENVIRONMENTAL SCIENCES,6.2,Applied,
Ecotropica,ECOLOGY - SCIE,0.35,Ecology,
Edentata,NA,NA,NA,
Eesti Loodus,NA,NA,NA,
Egretta,NA,NA,NA,
Eidechse,NA,NA,NA,
Ekologia (Bratislava),ECOLOGY - SCIE,0.085,Ecology,JCR year 2005
Ekologia Polska,NA,NA,NA,
Ekologiya (Moscow),NA,NA,NA,
Elepaio,NA,NA,NA,
eLife,BIOLOGY,6.4,General,No second cat
Elytron (Barcelona),NA,NA,NA,
Emu,ORNITHOLOGY - SCIE,1.069,Taxon,
Emu Melbourne,ORNITHOLOGY - SCIE,1.069,Taxon,
Endangered Species Research,BIODIVERSITY CONSERVATION,2.6,Applied,
Endeavour,HISTORY & PHILOSOPHY OF SCIENCE,0.5,Other_bio,"From journal website: ""Endeavour, established in 1942, has, over its long and proud history, developed into one of the leading journals in the history and philosophy of science. Endeavour publishes high-quality articles on a wide array of scientific topics from ancient to modern, across all disciplines. It serves as a critical forum for the interdisciplinary exploration and evaluation of natural knowledge and its development throughout history. Each issue contains lavish color and black-and-white illustrations. This makes Endeavour an ideal destination for history and philosophy of science articles with a strong visual component."""
Endeavour (Oxford),HISTORY & PHILOSOPHY OF SCIENCE,0.5,Other_bio,"From journal website: ""Endeavour, established in 1942, has, over its long and proud history, developed into one of the leading journals in the history and philosophy of science. Endeavour publishes high-quality articles on a wide array of scientific topics from ancient to modern, across all disciplines. It serves as a critical forum for the interdisciplinary exploration and evaluation of natural knowledge and its development throughout history. Each issue contains lavish color and black-and-white illustrations. This makes Endeavour an ideal destination for history and philosophy of science articles with a strong visual component."""
Entomo Helvetica,NA,NA,NA,
Entomofauna,NA,NA,NA,
Entomologia Experimentalis et Applicata,ENTOMOLOGY,1.4,Applied,
Entomologia Generalis,ENTOMOLOGY,5.6,Taxon,
Entomologia Hellenica,NA,NA,NA,
Entomologica (Bari),NA,NA,NA,
Entomologica Fennica,ENTOMOLOGY - SCIE,0.767,Taxon,
Entomologica Germ,NA,NA,NA,
Entomological Knowledge,NA,NA,NA,
Entomological News,ENTOMOLOGY,0.4,Taxon,
Entomological News Philadelphia,NA,NA,NA,
Entomological Review of Japan,NA,NA,NA,
Entomological Science,ENTOMOLOGY,0.7,Taxon,
Entomologicheskoe Obozrenie,NA,NA,NA,
Entomologie Heute,NA,NA,NA,
Entomologische Berichte Luzern,NA,NA,NA,
Entomologische Berichten (Amsterdam),NA,NA,NA,
Entomologische Nachrichten und Berichte,NA,NA,NA,
Entomologische Zeitschrift,ENTOMOLOGY,1.3,Taxon,
Entomologische Zeitschrift Frankfurt a M,ENTOMOLOGY,1.3,Taxon,
Entomologisk Tidskrift,NA,NA,NA,
Entomologiske Meddelelser,NA,NA,NA,
Entomologist,NA,NA,NA,
Entomologist's Monthly Magazine,NA,NA,NA,
Entomologist's Record and Journal of Variation,NA,NA,NA,
Entomologiste,NA,NA,NA,
Entomologiste (Paris),NA,NA,NA,
Entomon,NA,NA,NA,
Entomophaga,ENTOMOLOGY - SCIE,0.738,Taxon,
ENTOMOPS,NA,NA,NA,
Entomotaxonomia,NA,NA,NA,
Entomotropica,NA,NA,NA,
Environment and Ecology (Kalyani),NA,NA,NA,
Environmental Bioindicators,NA,NA,NA,
Environmental Biology of Fishes,ECOLOGY,1.4,Taxon,
Environmental Entomology,ENTOMOLOGY,1.8,Taxon,
Environmental Monitoring and Assessment,ENVIRONMENTAL SCIENCES,2.9,Applied,"From journal website: ""Environmental Monitoring and Assessment is a journal that explores the design and implementation of monitoring systems and pollution risk assessment methods."""
Environmental Pollution,ENVIRONMENTAL SCIENCES,7.6,Applied,
Environmental Science & Technology,ENVIRONMENTAL SCIENCES,10.8,Applied,"From journal website: ""Environmental Science & Technology (ES&T) is an impactful, environmental science and technology research journal that aims to be transformational and direction-setting, publishing rigorous and robust manuscripts for a multidisciplinary and diverse audience of scientists, policymakers, and the broad environmental community. The journal advances rigorous scholarship on complex environmental phenomena, particularly with respect to fate, transport, and transformation in natural and engineered systems, while simultaneously facilitating the solution of critical environmental problems. In addition to novelty and significance of research, ES&T considers the relevance of submitted manuscripts to its broad readership."""
Environmental Toxicology and Chemistry,ENVIRONMENTAL SCIENCES,3.6,Applied,Second cat is toxicology
ENVIS Bulletin Wildlife and Protected Areas,NA,NA,NA,
Ergebnisse der Biologie Berlin,NA,NA,NA,
Essex Bird Report,NA,NA,NA,
Landscape Ecology,ECOLOGY,4,Applied,"From journal website: ""Landscape Ecology, an open access publication, is the flagship journal of a well-established and rapidly developing interdisciplinary science that focuses explicitly on the ecological understanding of spatial heterogeneity.  Landscape Ecology draws together expertise from both biophysical and socioeconomic sciences to explore basic and applied research questions concerning the ecology, conservation, management, design/planning, and sustainability of landscapes as coupled human-environment systems.  Landscape ecology studies are characterized by spatially explicit methods in which spatial attributes and arrangements of landscape elements are directly analyzed and related to ecological processes."" Difficult as covers both basic and applied. "
Estudos de Biologia (Curitiba),NA,NA,NA,
Ethology,ZOOLOGY,1.3,Zoology,Second cat is behavioural sci
Ethology Ecology & Evolution,ZOOLOGY,1.3,Ecology,Second cat is behavioural sci
Etizenia,NA,NA,NA,
Etologia,NA,NA,NA,
European Journal of Entomology,ENTOMOLOGY,1.1,Taxon,
European Journal of Soil Biology,ECOLOGY,3.7,Applied,Second cat is soil science
European Journal of Taxonomy,ZOOLOGY,1.1,Zoology,"Third cat is entomology. From journal website: ""covering subjects in zoology (including entomology), botany (in its broadest sense), and palaeontology."". Ambiguous but favouring zoology as it does not only publish entomology."
European Journal of Wildlife Research,ECOLOGY,1.8,Ecology,
European Zoological Journal,ZOOLOGY,1.6,Zoology,
Evolution,ECOLOGY,3.1,Ecology,
Evolution & Development,DEVELOPMENTAL BIOLOGY,2.6,Other_bio,
Evolution Lancaster Pa,ECOLOGY,3.1,Ecology,
Evolutionary Anthropology,ANTHROPOLOGY,4.6,Anthro,
Evolutionary Biology (New York),EVOLUTIONARY BIOLOGY,1.9,Other_bio,"From journal website: ""Evolutionary Biology is a comprehensive forum dedicated to publishing critical reviews, original research, and controversial ideas in the field of evolutionary biology."""
Evolutionary Ecology,ECOLOGY,1.8,Ecology,
Evolutionary Ecology Research,ECOLOGY - SCIE,1.094,Ecology,
Evraziatskii Entomologicheskii Zhurnal,NA,NA,NA,
Exotic Bird Report,NA,NA,NA,
Experientia,MULTIDISCIPLINARY SCIENCES - SCIE,2.072,General,"No second cat. From journal website: ""This is a monthly journal, in English, French or German. It publishes both review articles and short communications in all fields of the natural sciences."""
Experimental and Applied Acarology,ENTOMOLOGY,1.8,Applied,
Falco Halle,NA,NA,NA,
Falke,NA,NA,NA,
Far Eastern Entomologist,NA,NA,NA,
Fauna (Oslo),NA,NA,NA,
Fauna Norvegica Series C Cinclus,NA,NA,NA,
Fauna och Flora (Stockholm),NA,NA,NA,
Fauna och Flora (Uppsala),NA,NA,NA,
Fauna och Flora Uppsala,NA,NA,NA,
Fauna Oslo,NA,NA,NA,
Fauna und Flora in Rheinland-Pfalz,NA,NA,NA,
Faune de Provence,NA,NA,NA,
Faunistisch-Oekologische Mitteilungen,NA,NA,NA,
Festivus,NA,NA,NA,
Field,NA,NA,NA,
Field and Laboratory Methods in Animal Cognition A Comparative Guide.,NA,NA,NA,
Field London,NA,NA,NA,
Field Studies,NA,NA,NA,
Fish and Fisheries,FISHERIES,5.6,Applied,"From journal website: ""Fish and Fisheries is an interdisciplinary journal covering fish biology, fisheries and aquaculture. We are renowned for our high-profile studies, adopting a broad approach to the field. We publish major synoptic papers, syntheses and meta-analyses from leading experts on current research and emerging trends, focusing on fish palaeontology, molecular biology and ecology, genetics, biochemistry, physiology, ecology, behavior, evolutionary studies, conservation, and the social, economic, and policy aspects of fisheries."". Basic and applied focus - categorising as applied"
Fish Physiology and Biochemistry,PHYSIOLOGY,2.5,Taxon,
Fla Nat.,NA,NA,NA,
Flora and Fauna - Jhansi,NA,NA,NA,
Flora og Fauna Kjobenh,NA,NA,NA,
Florida Entomologist,ENTOMOLOGY,1.1,Taxon,
Florida Field Naturalist,NA,NA,NA,
Florida Marine Research Institute Technical Reports,NA,NA,NA,
Florida Scient,NA,NA,NA,
Flycatcher,NA,NA,NA,
Folia Entomologica Hungarica,NA,NA,NA,
Folia Entomologica Mexicana,NA,NA,NA,
Folia Musei Rerum Naturalium Bohemiae Occidentalis Zoologica,NA,NA,NA,
Folia Primatologica,ZOOLOGY,1.2,Taxon,
Folia Zoologica,ZOOLOGY - SCIE,1.542,Zoology,JCR year 2001
Food Webs,ECOLOGY,1.8,Ecology,"From journal website: ""The journal Food Webs publishes original research articles, focused reviews and short communication papers examining the species interactions that structure ecological communities. This interdisciplinary journal encompasses both experimental and theoretical research that seeks a mechanistic understanding of the influence of these interactions on the composition of communities and functioning of ecosystems. As such, articles focus on a multitude of areas within the area of food web biology."""
Forest Ecology and Management,FORESTRY,3.7,Applied,
Forestry (Oxford),FORESTRY,3,Applied,
Forktail,ORNITHOLOGY - SCIE,0.7,Taxon,
Forma et Functio,NA,NA,NA,
Formosan Entomologist,NA,NA,NA,
Fort Hare Papers,NA,NA,NA,
Fotografie Draussen,NA,NA,NA,
Fragmenta Entomologica,ZOOLOGY,0.5,Taxon,
Freshwater and Marine Aquarium,NA,NA,NA,
Freshwater Biology,ECOLOGY,2.8,Ecology,Second cat is marine and freshwater biology
Frontiers in Ecology and Evolution,ECOLOGY,2.4,Ecology,
Frontiers in Ecology and the Environment,ECOLOGY,10,Ecology,
Marine Ecology Progress Series,ECOLOGY,2.2,Applied,"From journal website: ""The leading journal in its field, MEPS covers all aspects of marine ecology, fundamental and applied. Topics covered include microbiology, botany, zoology, ecosystem research, biological oceanography, ecological aspects of fisheries and aquaculture, pollution, environmental protection, conservation, and resource management."". Difficult as covers both basic and applied. "
Frontiers in Zoology,ZOOLOGY,2.6,Zoology,
Fugle,NA,NA,NA,
Functional Ecology,ECOLOGY,4.6,Ecology,
GABAR,NA,NA,NA,
Galathea,NA,NA,NA,
Galathea Supplement,NA,NA,NA,
Game & Wildlife Science,NA,NA,NA,
Gazelle (Dubai),NA,NA,NA,
Gefiederte Welt,NA,NA,NA,
Gene (Amsterdam),GENETICS & HEREDITY,2.6,Other_bio,
General and Comparative Endocrinology,ZOOLOGY,2.1,Zoology,Second cat is endocrinology & metabolism
Genetica,GENETICS & HEREDITY,1.3,Other_bio,
Genetics and Molecular Biology,GENETICS & HEREDITY,1.7,Other_bio,
Gensei,NA,NA,NA,
Geobios (Jodhpur),PALEONTOLOGY,1.6,Other_bio,
Geobios New Reports,NA,NA,NA,
Geological Society of America Special Paper,NA,NA,NA,
Gerfaut,NA,NA,NA,
Gerfaut Bruxelles,NA,NA,NA,
Gibbon Journal,NA,NA,NA,
Gibier Faune Sauvage,NA,NA,NA,
Glasgow Naturalist,NA,NA,NA,
Glasnik Muzeja Srpske Zemlje (Ser B),NA,NA,NA,
Glasnik Muzeja u Beogradu Ser B,NA,NA,NA,
Glasnik Prirodnjackog Muzeja Beograd,NA,NA,NA,
Glasnik srp Akad Nauka Prir-mat Nauk),NA,NA,NA,
Global Change Biology,ECOLOGY,10.8,Applied,"From journal website: ""Global Change Biology is an environmental change journal dedicated to shaping the future and solving the world’s most challenging problems by tackling sustainability, climate change and environmental protection, food and water safety and provision, as well as global health. The journal exists to promote the understanding of the impacts of global change on biological systems and solutions."""
Global Ecology and Biogeography,ECOLOGY,6.3,Ecology,
